id	word	sense	context	w_word	wo_word	followup
just_j_5388	just	non-exclusive	Hey Mike. What are you doing?__eou__Nothing much. What are you up to?	I was just concerned about Sam. He hasn't been himself lately.	I was concerned about Sam. He hasn't been himself lately.	He took the civil service exam and failed.
just_e_1001	just	exclusive	Hello! Are you shopping here today? Haven't I seen you in some flea markets and thrift shops a couple of times?	I'm just comparing prices.	I'm comparing prices.	You should! This thrift shop is really cheap, though, you have to pay cash here.
just_e_9687	just	exclusive	Excuse me, here is my claim tag, but I can't find my baggage.__eou__How many pieces of baggage have you lost?	Just one piece.	One piece.	Can you tell me the features of your baggage?
just_j_6768	just	non-exclusive	Kathy! How are you? It's been ages! What are you doing these days?	I just opened my own restaurant. I'm also head chef.	I opened my own restaurant. I'm also head chef.	You're kidding! You've always hated cooking!
just_j_12662	just	non-exclusive	Is everything all right?__eou__Not at all.__eou__What's the problem?	Someone just robbed me.	Someone robbed me.	What do you mean?
just_j_1461	just	non-exclusive	Operator. May I help you?__eou__Yes. How do I get an outside line, please?	Just dial 0, wait for the dial tone, and then dial the phone number you want to call. Or we can place a call for you, if you want.	Dial 0, wait for the dial tone, and then dial the phone number you want to call. Or we can place a call for you, if you want.	No, thanks a lot. I'll try it myself.
just_j_10555	just	non-exclusive	Has everything been OK with you lately?__eou__I haven’t been able to get a good night’s sleep lately. I’m exhausted!__eou__Have you been too busy to get enough sleep?	I try to go to sleep, but I just can’t stay asleep.	I try to go to sleep, but I can’t stay asleep.	How late do you try to go to sleep?
just_j_2164	just	non-exclusive	I love breathing fresh air in the suburb places, while sitting in the morning sunshine.__eou__I can't agree more, honey. We need to get away from work from time to time.	Yeah, just return to nature and feel the thrills of its beauty.	Yeah, return to nature and feel the thrills of its beauty.	We are nor alone here. So many other families!
just_j_8011	just	non-exclusive	I can't believe it! I lost.__eou__It looks like you have to buy tickets for us, Jason. And we're not going to see an action movie!__eou__That's not fair, you got all the easy questions.	I guess that's just the luck of the draw.	I guess that's the luck of the draw.	I want a rematch. Let's play again.
just_e_3966	just	exclusive	Daniel, would you like to have a look at my dorm?__eou__Of course, I'd like to.	It is a small room, just for 4 people.	It is a small room, for 4 people.	What is in it?
just_j_2438	just	non-exclusive	OK, so are you ready to learn how to bake a cake?	Almost, let me just put my apron on.	Almost, let me put my apron on.	OK, so the first thing we are going to do is pre-heat the oven, that way we have it at the desired temperature once we finish preparing everything. Set it to three hundred and seventy five degrees Fahrenheit.
just_e_1907	just	exclusive	How was your morning jog?__eou__Very good. I feel quite refreshed now! You should come with me sometime - exercise is good for you!__eou__To be honest, I’d rather watch television! Where did you go?	I just ran alongside the main road.	I ran alongside the main road.	Oh you ought to go to the park next time. They have a route for joggers there.
just_e_2717	just	exclusive	Hmm. Not bad. I think I look younger with shorter hair.__eou__Yes, you do. The Hot Cap is back here in the corner. I think we're ready to put the curlers in. What kind of perm would you like?	I just want a light wave. I look really silly if my hair is too curly.	I want a light wave. I look really silly if my hair is too curly.	All right. What if we leave your bangs straight and just perm the sides and back?
just_j_4722	just	non-exclusive	Are you alright, Ethan? You don't seem to be as cheerful as you normally are.	To be honest, Ava, I've just had a really bad day.	To be honest, Ava, I've had a really bad day.	What happened?
just_j_8362	just	non-exclusive	let's go swimming.	But, we just finished eating lunch.	But, we finished eating lunch.	I know, but I'm really hot.
just_j_8556	just	non-exclusive	I think I'm going to go home.	Why? We just got here.	Why? We got here.	I know, but it's 12
just_e_569	just	exclusive	May I help you?	I'm just browsing, thanks.	I'm browsing, thanks.	We're on clearance sale now. Prices have up to twenty percent off. Do not miss the chance.
just_e_1043	just	exclusive	May I help you?	No, thank you. I'm just looking. Maybe later I might need your help.	No, thank you. I'm looking. Maybe later I might need your help.	I hope you will! Take your time. We have a lot more upstairs.
just_e_1246	just	exclusive	Good afternoon, ma'am. Can I help you find anything?	No, thanks. I'm just looking.	No, thanks. I'm looking.	We have a special on these skirts this week. Would you like to try one on?
just_j_7614	just	non-exclusive	Hey Michelle. Good to see you. Are you at lunch?	Oh hi Jim. No I just got back. I thought you were on vacation now.	Oh hi Jim. No I got back. I thought you were on vacation now.	No, I wish I was! I just got back from Spain actually.
just_e_2612	just	exclusive	Can I bring you anything else?	No, thank you. Just the check.	No, thank you. The check.	Let me get this.
just_e_4966	just	exclusive	Is my hair done yet?	Yeah, I just need to make the final touches.	Yeah, I need to make the final touches.	How long until you're finished?
just_e_2762	just	exclusive	Hi, can I help you?	No, thanks. I'm just looking.	No, thanks. I'm looking.	All right. If you need any help, just let me know. My name is Greg.
just_e_472	just	exclusive	Hey Michael. Where are you going?	No where special. I was just taking a walk.	No where special. I was taking a walk.	What for?
just_e_1267	just	exclusive	Hi. Can I help you?	No, thanks. I’m just looking around.	No, thanks. I’m looking around.	Okay. Please let me know if you need any help.
just_e_9397	just	exclusive	Why's the plane shaking?	It's just some turbulence.	It's some turbulence.	I'm scared.
just_e_6664	just	exclusive	Hi, Jenny. Are still working?	Hi, Nancy. Come in please. I'm just putting away on my books.	Hi, Nancy. Come in please. I'm putting away on my books.	So, you are leaving, aren't you?
just_e_976	just	exclusive	Is there anything I can do for you?__eou__I'm looking for a black, leather bag.__eou__How's this?	I'm just looking.	I'm looking.	If you need any help, let me know.
just_e_9416	just	exclusive	How many people are traveling with you today, miss?	Just me. I'm traveling alone.	Me. I'm traveling alone.	And how many bags do you have?
just_e_12686	just	exclusive	They don't really think you took it, do they?	I don't know. I just know I've never been asked so many questions in my life.	I don't know. I know I've never been asked so many questions in my life.	How many of them were there?
just_j_2401	just	non-exclusive	This motor oil case is still really slippery.__eou__Yeah, time for more coffee!__eou__Sure, why not? I think I want a chocolate chip cookie, too.	By the way, I heard Kitty's just got in a shipment of Jamaican Blue Mountain.	By the way, I heard Kitty's got in a shipment of Jamaican Blue Mountain.	So what?
just_e_11908	just	exclusive	Hi, Deny. Are still working?	Hi, Navy. Come in please. I'm just putting away on my books.	Hi, Navy. Come in please. I'm putting away on my books.	So, you are leaving, aren't you?
just_e_4632	just	exclusive	She is really pretty, isn't she? Her skin looks so baby-smooth!	Well, it's just that she put a lot of makeup on her face. Actually, natural beauty comes from within.	Well, it's that she put a lot of makeup on her face. Actually, natural beauty comes from within.	Ah, I can smell jealousy in the air.
just_j_2522	just	non-exclusive	I'm searching for an old music box.__eou__You came to the right place. Any particular decade?__eou__If you had a box made in the' 20s, that would be nice.	We just got one in yesterday, so now we have six.	We got one in yesterday, so now we have six.	Would any of them have dancing figures?
just_e_5739	just	exclusive	Jim, I heard you took a trip to San Diego. Is that right?	Yeah, I just got back this morning.	Yeah, I got back this morning.	That sounds really nice. What did you do there?
just_e_7244	just	exclusive	Daniel, you can't spit the gum everywhere.	Come on, just a little piece.	Come on, a little piece.	Do you know how many people chew gum everyday?
just_j_11362	just	non-exclusive	Would you mind if I ask your health status?	I just had a complete physical examination and passed with flying colors.	I had a complete physical examination and passed with flying colors.	That is good. We hope each of our future employees will be healthy and happy.
just_j_8648	just	non-exclusive	what sort of music do you like?	I love just about anything by Prince.	I love about anything by Prince.	so, you're into 80s music then?
just_e_5473	just	exclusive	Hey Bobby. What's going on?	Just taking a smoke break.	Taking a smoke break.	I forgot my cigarette today. Do you have another one?
only_315	only	exclusive	Excuse me, could you tell me how much is the lipstick?	It costs only 25 yuan.	It costs 25 yuan.	Oh, it's too expensive. Can't you make it any cheaper?
only_491	only	exclusive	Excuse me. Can you tell me where the Wal-Mart supermarket is?__eou__Turn right at the second crossing and then go straight for two blocks.__eou__Is it far from here?	No, it’s only ten-minute's walk.	No, it’s ten-minute's walk.	Thanks a lot.
only_501	only	exclusive	Would you like to mail it by air or sea?__eou__Hmm ... How long will it take to mail things to the USA by air?	About 10 days. You can send it express mail if you need it faster. It will only take three or four days.	About 10 days. You can send it express mail if you need it faster. It will take three or four days.	I want to send it by express mail. The faster, the better.
only_649	only	exclusive	Well, what about this two-bedroom apartment? The listing says it's right in the heart of the city, just steps from the metro.__eou__Wow, that would be very convenient. How much is the rent?	It says it's $ 1600. But if you share it with another person, that's only $ 800 per month.	It says it's $ 1600. But if you share it with another person, that's $ 800 per month.	That definitely sounds like a steal. I think that is a very trendy neighborhood as well.
only_660	only	exclusive	What kind of lease is it?__eou__It's a one-year lease.	Can I have a month-to-month lease? I only want to rent the apartment for five months.	Can I have a month-to-month lease? I want to rent the apartment for five months.	No, all the leases are for one year. We don't have month-to-month leases.
only_687	only	exclusive	Excuse me. Could you tell me the way to the Star Hotel?__eou__Yes. Go down the main road. You can't miss it.__eou__How long will it take me to get there?	It's only about a five-minute walk.	It's about a five-minute walk.	Thank you very much.
only_745	only	exclusive	Good morning, I want to send this parcel to Taiwan.__eou__Airmail or surface mail?__eou__How long would surface mail take, compared with airmail?	Oh, anything up to 3 or 4 months for surface mail. It depends on the sailing of the ships. Airmail would only take 1 to 2 weeks.	Oh, anything up to 3 or 4 months for surface mail. It depends on the sailing of the ships. Airmail would take 1 to 2 weeks.	How much would this parcel cost me by airmail?
only_794	only	exclusive	Can I have the window seat over there?__eou__Sorry, sir. That table has been booked.	Well, in that case, this table is the only choice.	Well, in that case, this table is the choice.	Actually you can have a window seat if you don't mind a ten-minute wait.
only_965	only	exclusive	Excuse me, where is the Beijing Railway Station?__eou__You can take the subway to get there.__eou__How long will it take to get there?	It takes only ten minutes.	It takes ten minutes.	May I take a bus or a taxi to get there?
only_966	only	exclusive	Excuse me, can you tell me where Main Street is?__eou__Turn left at the second light and then go straight for two blocks.__eou__Is it far?	No. It's only a five-minute walk. You can't miss it.	No. It's a five-minute walk. You can't miss it.	Thanks a lot.
only_1038	only	exclusive	Can I order take-out here?	We only have spring rolls today for take-out.	We have spring rolls today for take-out.	Then could I have four orders, please?
only_1142	only	exclusive	Look! Allen has the mic!	I thought he only liked to listen!	I thought he liked to listen!	That was before he heard Stanley sing! I guess he couldn't stand it any more, so he decided to give it a try himself!
only_1272	only	exclusive	Excuse me, but can you tell me the way to the Today Mall?__eou__Yes, go down the fifth street. You won't miss it.__eou__How long will it take me to get there?	It's only about 10 minutes' walk.	It's about 10 minutes' walk.	Thank you very much.
only_1368	only	exclusive	Excuse me. How much is the chocolate bar?__eou__One dollar.__eou__So, I can have five for five dollars?	Actually, you can only have four.	Actually, you can have four.	Oh, yeah. I forgot tax. Give me four then, please.
only_1446	only	exclusive	Excuse me. Have you got the time?__eou__My watch says half past five.__eou__Does your watch keep good time?	Oh yeah. It loses only a few seconds in the whole month.	Oh yeah. It loses a few seconds in the whole month.	Thanks a lot.
only_1493	only	exclusive	Jane! What an enchanting skirt you have on!__eou__Thank you! Guess how much it costs.__eou__Bright colors, smooth material, exquisite craftsmanship, soft lines ... Darling, it looks elegant on you! It can't be any cheap stuff. Something around two hundred, I guess.	Your offer is way off the mark. It set me back only sixty-five.	Your offer is way off the mark. It set me back sixty-five.	Then you got a windfall! Was sixty-five the original price, or did you get a special discount?
only_1538	only	exclusive	Excuse me. Would you tell me where The People's Park is?__eou__The People's Park is located on Nanjing Road, near Limbo road, just on the opposite side of the International Hotel.__eou__How long will it take me to get there?	Only about twenty minutes.	About twenty minutes.	I'm not going in the wrong direction, am I?
only_1577	only	exclusive	Excuse me, can you tell me where central Park Street is?__eou__Turn right at the third light and then go straight for two blocks.__eou__Is it far?	No. It's only a ten-minute walk.	No. It's a ten-minute walk.	I see. Thanks a lot.
only_1579	only	exclusive	Excuse me, how do I get to the Forbidden City?__eou__Follow this road and turn right at the second intersection. It'll be right there.__eou__Is it far?	No, it should only take you about 15 minutes by foot.	No, it should take you about 15 minutes by foot.	Thank you.
only_1602	only	exclusive	How is your house hunting going?__eou__Not very well. I haven’t found anything within my price range yet.__eou__How much are you looking to spend?	I can only afford about 300 pounds a month.	I can afford about 300 pounds a month.	Looks like you’re not going to get more than a bedroom in a shared flat with that.
only_1624	only	exclusive	Hi, I want to check out.__eou__Okay. Come with me.__eou__Can I pay by a credit card?	Sorry, you can only pay cash.	Sorry, you can pay cash.	OK. Here is the money.
only_1817	only	exclusive	What’s the matter, dear?__eou__Something awful happened. We went to the Portobello Road, and someone stole my handbag.__eou__Oh, dear. Did you lose a lot of money?	No. Only a few pounds. But my passport was in the bag. That’what I’m really worried about.	No. A few pounds. But my passport was in the bag. That’what I’m really worried about.	You must tell your embassy about it. And I think they’ll issue you with a new one.
only_1888	only	exclusive	Ahh ... What a fine day! I do feel like an outdoor exercise.__eou__How about taking a walk in the park?__eou__OK.It' s delightful to have a walk in the park with the air so fresh.	( After they enter the park ) Oh, it's so quiet here.We have the park to ourselves, only you and me!	( After they enter the park ) Oh, it's so quiet here.We have the park to ourselves, you and me!	Don't you see many people over there? Just on your left.
only_1891	only	exclusive	I work so hard that I do not have the energy to exercise.__eou__That is just an excuse. You can always find some time to exercise.__eou__But I work hard all the time for long hours. Often I have no time for lunch. Yet, I am still getting fatter.	Bill, you know that work is not the same as exercise as it is stressful but not relaxing. And skipping meals will not help you lose weight.In fact your body will only store fat if you miss meals.	Bill, you know that work is not the same as exercise as it is stressful but not relaxing. And skipping meals will not help you lose weight.In fact your body will store fat if you miss meals.	I know you're right, but what can I do?
only_2032	only	exclusive	You should not have criticize your son in front of his friends.__eou__Why? He did something wrong.__eou__I know. But at that time your blame is rubbing salt into his wounds.	I only wanted to help him.	I wanted to help him.	But it is not the right time.
only_2038	only	exclusive	Dad, can you buy a new camera? My old one has gone west.	What? I gave it to you only 3 months ago.	What? I gave it to you 3 months ago.	So, you didn’t buy a good one for me. This time how about a better one?
only_2118	only	exclusive	Hello, may I help you?__eou__Yes, I'd like to have this parcel delivered to Shanghai.	Oh, we only take care of mail. For parcels, you can go to the next window.	Oh, we take care of mail. For parcels, you can go to the next window.	Thanks! ... Hello, I have a parcel to deliver.
only_2232	only	exclusive	I'm here to conduct the annual census of foreigners living in Beijing. This is my service ID card.__eou__OK. What do you want to know?	We only need to verify your information against our records.	We need to verify your information against our records.	OK.
only_2333	only	exclusive	Good morning. Do I need an appointment?	No, ma'am, there's only one person ahead of you. You won't have to wait long.	No, ma'am, there's one person ahead of you. You won't have to wait long.	Thank you.
only_2405	only	exclusive	So the apartment comes unfurnished?__eou__This one is. I have another one that's furnished, but I'm not sure you'll like the furniture.__eou__We have tons of furniture. What we need are air conditioners.	This building is only four years old. It was built with central air.	This building is four years old. It was built with central air.	Just like in the States! That's perfect!
only_2470	only	exclusive	Hi, I would like to purchase a one way ticket to Brussels, please.__eou__Certainly sir, this is our train schedule. We have an express train departing every morning and an overnight train that departs at nine pm.__eou__How long does it take to get there?	About twelve hours. We currently have tickets available only for first class on the express train. If you’d like, you can choose a sleeper on the overnight train which is a bit less expensive.	About twelve hours. We currently have tickets available for first class on the express train. If you’d like, you can choose a sleeper on the overnight train which is a bit less expensive.	Yeah, I think that is the best option. Do you serve food on the train? Twelve hours is such a long time!
only_2627	only	exclusive	May I have a look at that vase, please?	Of course. It's the best one I have here---and it's only 300 yuan.	Of course. It's the best one I have here---and it's 300 yuan.	Oh, it's really nice, but to tell the truth, that's far too expensive.
only_2678	only	exclusive	Did you like the Chanel bag that I got?__eou__You must have a rich boyfriend because that bag is so expensive!	I bought it on eBay. It was only one-tenth of the original price. And the purchase was so easy.	I bought it on eBay. It was one-tenth of the original price. And the purchase was so easy.	No kidding! Then how do you know the bag's real?
only_2682	only	exclusive	Only one. But I wanted to make sure I'd get it.__eou__Yeah, I really wanted that Chanel bag, too. But just in case you should bid low.	But there are only two more days until the bidding closes!	But there are two more days until the bidding closes!	I bid on a Chanel watch at the last minute, and got it sixty percent off!
only_2695	only	exclusive	Wow! Your fruit looks really fresh! How much are these apples?__eou__The apples are 30NT each. How many would you like?__eou__Let's see, 30NT is about ... almost a dollar US. What?! How about these pineapples?	They're 250NT each, but they're not edible. They're only used for worship.	They're 250NT each, but they're not edible. They're used for worship.	Hmm, 250NT is ... 8 dollars?!! And you can't even eat them? You're crazy!
only_2703	only	exclusive	Who finances the magazine?	I don't know exactly. I only hear it's financed by a famous film star.	I don't know exactly. I hear it's financed by a famous film star.	Does it have a large circulation?
only_2903	only	exclusive	Excuse me. can you tell me where Main Street is?__eou__Turn left at the second light and then go straight for two blocks.__eou__Is it far?	No. it’s only five minutes walk. you can’t miss it.	No. it’s five minutes walk. you can’t miss it.	Thanks a lot
only_3267	only	exclusive	May I help you, sir?__eou__Yes, I want to buy a VCR.__eou__Well, we have many models to choose from here.Do you have a particular brand you want?	No. I only want it to be a very good one. The best.It' s a graduation gift for my son.	No. I want it to be a very good one. The best.It' s a graduation gift for my son.	I see. And does your son have a VCR now?
only_3302	only	exclusive	how is your house hunting going?__eou__not very well. I haven’t found anything within my price range yet.__eou__how much are you looking to spend?	I can only afford about 300 pounds a month.	I can afford about 300 pounds a month.	looks like you’re not going to get more than a bedroom in a shared flat with that.
only_3332	only	exclusive	I'm so hungry! Can you buy me a burrito?__eou__I don't have any money to buy you a burrito.__eou__Please? I haven't eaten anything all day.	Look, I only have money to buy myself a burrito.	Look, I have money to buy myself a burrito.	I'm so hungry, I could eat a whole cow!
only_3340	only	exclusive	I need a snack from the cafeteria.__eou__What are you thinking of getting?	I only want some chips.	I want some chips.	I think I may get something too.
only_3385	only	exclusive	Are you going to eat anything with your sandwich?__eou__I may get some fruit.__eou__Oh really, what kind of fruit do you like?	I tend to only eat grapes and apples.	I tend to eat grapes and apples.	What kind of apples do you prefer?
only_3392	only	exclusive	Have you washed any clothes yet?	No, I've only washed my whites.	No, I've washed my whites.	When you wash your dark clothes, can you put some of mine in?
only_3393	only	exclusive	Did you already wash your clothes today?	I've only washed my white clothes.	I've washed my white clothes.	Could you wash some of my dark clothes with yours?
only_3394	only	exclusive	What does it cost to ride this bus?__eou__The fare is $ 1.25.__eou__Have you been driving buses a long time?	I haven't been driving for long — only for a few months.	I haven't been driving for long — for a few months.	Do you like to drive the bus?
only_3465	only	exclusive	I am very nervous about signing my escrow papers.__eou__Escrow involves a lot of paperwork, but I will explain all of the steps to you as we go along.__eou__What should I have brought with me?	The only thing I will need to see is your driver’s license, as I will be notarizing these papers.	The thing I will need to see is your driver’s license, as I will be notarizing these papers.	I feel a little overwhelmed by so many papers.
only_3483	only	exclusive	How many parking tickets have you gotten before?__eou__I've gotten a few parking tickets before.__eou__How many?	Only about five or six.	About five or six.	Have you paid off your parking tickets?
only_3484	only	exclusive	Did you ever get a parking ticket?	Only a few.	A few.	What's a few?
only_3568	only	exclusive	I need to buy some flowers for my wife.__eou__Perhaps you'd be interested in red roses.__eou__What would the roses cost me?	They're only $ 20 a dozen.	They're $ 20 a dozen.	I like the sound of that.
only_3570	only	exclusive	It's my wife's birthday. I need to buy some flowers for her.__eou__Most women love red roses for their birthday.__eou__How much will the roses be?	You can get a dozen for only $ 20.	You can get a dozen for $ 20.	Now, that's a price that I like.
only_3674	only	exclusive	Mr. : For tomorrow, read pages 12 to 20. Then do exercises one through ten on page 21.__eou__Do we have to type out our homework?	Mr. : No. You only do that when you write reports.	Mr. : No. You do that when you write reports.	Is there anything else?
only_3779	only	exclusive	How many credits are you taking this semester?	I have to have at least eighteen to keep my scholarships and grant. But so far, I only have fifteen.	I have to have at least eighteen to keep my scholarships and grant. But so far, I have fifteen.	What's the matter, are the classes you want full?
only_3792	only	exclusive	Good morning, John. Have you finished reading the novel by Dickens borrowed from the library?	No. I caught a cold two days ago. I only finish reading half of it.	No. I caught a cold two days ago. I finish reading half of it.	I'm sorry to hear that. How are you feeling now?
only_3843	only	exclusive	Can I help you?__eou__Yes, I need to apply for a parking permit.__eou__Are you a professor?	What? Are you kidding? I'm only 22 years old!	What? Are you kidding? I'm 22 years old!	Yes, I am kidding.But don't you know only professors and students with disabilitiescan apply for parking permits?
only_3867	only	exclusive	How is your new dormitory?	It's very nice. There are only four people, and those girls are very kind and friendly.	It's very nice. There are four people, and those girls are very kind and friendly.	Well, do you all major in the same subject?
only_3896	only	exclusive	In my country, we go to school from 8 o'clock in the morning until five in the afternoon.__eou__Five days a week, too?	Actually, five and a half. On Saturday, we have classes only in the morning.	Actually, five and a half. On Saturday, we have classes in the morning.	Gosh!
only_3930	only	exclusive	Are these your text books? Biochemistry, General Ecology, Botany, Cell Genetics, Molecular Genetics ...__eou__Yes. I gotta review all of them for the final exam. It is just around the corner.__eou__Oh, right! Do you have many exams at the end of each semester?	That depends. Some semesters have many, some don't. And some courses don't have exams but only ask for papers. That's easy.	That depends. Some semesters have many, some don't. And some courses don't have exams but ask for papers. That's easy.	And when do you prepare for your final exam?
only_3999	only	exclusive	Hello, I need to register for a class.__eou__What class are you trying to take?__eou__I want to take a Psychology class.	Well, there are only two classes open.	Well, there are two classes open.	Can you tell me what days the classes are on?
only_4003	only	exclusive	My German teacher thought it would be a good idea to have German pen friends to write to in German.__eou__What a great idea! Now you have a friendly audience to practice with!	The only thing is that my pen friend will be writing in English.	The thing is that my pen friend will be writing in English.	Oh, he wants to practice his language skills, too.
only_4172	only	exclusive	This man looks very handsome.Is he married?__eou__Sure.He has already married, a father of two boys.__eou__Oh, I can't believe it.He looks very young.	He took the picture when he was only 21 years old.	He took the picture when he was 21 years old.	I see.
not_5	not	truth-conditional control	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.
not_7	not	truth-conditional control	Can you manage chopsticks?	Why not? See.	Why? See.	Good mastery. How do you like our Chinese food?
not_15	not	truth-conditional control	Is everything to your satisfaction?	No, the steak was recommended, but it is not very fresh.	No, the steak was recommended, but it is very fresh.	Oh! Sorry to hear that. This is quite unusual as we have steak from the market every day.
not_71	not	truth-conditional control	Is Tom in?__eou__Wrong number.__eou__Isn't this Li's residence?	No, it is not.	No, it is.	Oh, I'm sorry.
not_81	not	truth-conditional control	I'm trying to reach Robert please.	Robert is not available at the moment.	Robert is available at the moment.	What time should I call back?
not_226	not	truth-conditional control	Do you have any plan to buy a house in this city?__eou__Absolutely we need a house here. But what makes me upset is the prices in this city.	Our monthly salary can not buy one square meter of the house here.	Our monthly salary can buy one square meter of the house here.	It is depressing to hear the price goes higher and higher.
not_244	not	truth-conditional control	I would like to buy a black suit.__eou__Do you have any special brand in your mind?__eou__No, I never wear suit in my everyday life. I just want one to take part in my sister’s wedding ceremony.	I see. Have a look at this one. It’s very cheap because it’s not very durable.	I see. Have a look at this one. It’s very cheap because it’s very durable.	but it looks good. Let me try it on.
not_272	not	truth-conditional control	Where's the nearest tailor's?__eou__There is one just around the corner.__eou__The jacket is tight in the shoulders and long in the sleeve. What about the price there?	The price is moderate, but their work is sometimes not satisfactory.	The price is moderate, but their work is sometimes satisfactory.	Is there a better tailor's around here?
not_302	not	truth-conditional control	Would you like to have some icecream? I've got a variety of flavors for you to choose from. I've got strawberry, peach, chocolate, coffee, vanilla and praline.__eou__Wow! So many choices you have! I wish I could, but I just can't. I'm on a diet to lose weight.__eou__Come on, just a bite. It doesn't really hurt to have just a bite.	I'd better not. Please don't tempt me. Please!	I'd better. Please don't tempt me. Please!	Gee! You are really strong-willed.
not_309	not	truth-conditional control	Would you like a piece of birthday cake?__eou__No, thanks, I'll pass. It looks very tempting though.__eou__I thought strawberry cake with cream cheese frosting was your favorite?	It is. I'm on a diet and strawberry cream cheese cake is not on it.	It is. I'm on a diet and strawberry cream cheese cake is on it.	A diet? What for? You are in great shape.
